States;Acute Lymphocytic Leukemia;Acute Monocytic Leukemia;Acute Myeloid Leukemia;Aleukemic, Subleukemic and NOS;All Invasive Cancer Sites Combined;Anus, Anal Canal and Anorectum;Appendix;Ascending Colon;Bones and Joints;Brain;Brain and Other Nervous System;Cecum;Cervix Uteri;Chronic Lymphocytic Leukemia;Chronic Myeloid Leukemia;Colon and Rectum;Colon excluding Rectum;Corpus Uteri;Cranial Nerves Other Nervous System;Descending Colon;Digestive System;Endocrine System;Esophagus;Eye and Orbit;Female Breast;Female Breast, In Situ;Female Genital System;Floor of Mouth;Gallbladder;Gum and Other Mouth;Hepatic Flexure;Hodgkin - Nodal;Hodgkin Lymphoma;Hypopharynx;Intrahepatic Bile Duct;Kaposi Sarcoma;Kidney and Renal Pelvis;Large Intestine, NOS;Larynx;Leukemias;Lip;Liver;Liver and Intrahepatic Bile Duct;Lung and Bronchus;Lymphomas;Male Breast;Male Breast, In Situ;Male Genital System;Male and Female Breast;Male and Female Breast, In Situ;Melanoma of the Skin;Mesothelioma;Miscellaneous;Myeloma;NHL - Extranodal;NHL - Nodal;Nasopharynx;Non-Hodgkin Lymphoma;Nose, Nasal Cavity and Middle Ear;Oral Cavity and Pharynx;Oropharynx;Other Acute Leukemia;Other Biliary;Other Digestive Organs;Other Endocrine including Thymus;Other Female Genital Organs;Other Leukemias;Other Lymphocytic Leukemia;Other Male Genital Organs;Other Myeloid/Monocytic Leukemia;Other Non-Epithelial Skin;Other Oral Cavity and Pharynx;Other Urinary Organs;Ovary;Pancreas;Penis;Peritoneum, Omentum and Mesentery;Prostate;Rectosigmoid Junction;Rectum;Rectum and Rectosigmoid Junction;Respiratory System;Retroperitoneum;Salivary Gland;Sigmoid Colon;Skin excluding Basal and Squamous;Small Intestine;Soft Tissue including Heart;Splenic Flexure;Stomach;Testis;Thyroid;Tongue;Tonsil;Trachea, Mediastinum and Other Respiratory Organs;Transverse Colon;Ureter;Urinary Bladder, invasive and in situ;Urinary System;Uterus, NOS;Vagina;Vulva
Hawaii;0,000015;0,000000;0,000045;0,000000;0,004981;0,000019;0,000013;0,000052;0,000000;0,000039;0,000045;0,000043;0,000032;0,000020;0,000021;0,000498;0,000307;0,000179;0,000000;0,000028;0,001060;0,000164;0,000045;0,000000;0,000824;0,000212;0,000309;0,000000;0,000014;0,000015;0,000000;0,000011;0,000012;0,000000;0,000019;0,000000;0,000176;0,000015;0,000024;0,000115;0,000000;0,000124;0,000143;0,000564;0,000198;0,000000;0,000000;0,000569;0,000828;0,000212;0,000279;0,000000;0,000146;0,000065;0,000094;0,000092;0,000017;0,000186;0,000000;0,000154;0,000000;0,000000;0,000018;0,000000;0,000012;0,000018;0,000015;0,000000;0,000000;0,000000;0,000020;0,000000;0,000000;0,000060;0,000173;0,000000;0,000000;0,000532;0,000043;0,000147;0,000191;0,000598;0,000000;0,000019;0,000103;0,000298;0,000029;0,000035;0,000013;0,000104;0,000031;0,000152;0,000059;0,000017;0,000000;0,000036;0,000000;0,000184;0,000371;0,000000;0,000000;0,000011
Idaho;0,000022;0,000000;0,000039;0,000000;0,004914;0,000027;0,000021;0,000048;0,000000;0,000089;0,000094;0,000058;0,000028;0,000079;0,000025;0,000390;0,000281;0,000144;0,000000;0,000016;0,000855;0,000165;0,000049;0,000011;0,000707;0,000130;0,000263;0,000000;0,000013;0,000012;0,000015;0,000024;0,000024;0,000000;0,000022;0,000000;0,000179;0,000020;0,000025;0,000182;0,000024;0,000073;0,000094;0,000566;0,000244;0,000000;0,000000;0,000613;0,000710;0,000131;0,000302;0,000014;0,000161;0,000075;0,000072;0,000148;0,000000;0,000220;0,000000;0,000141;0,000000;0,000000;0,000015;0,000000;0,000000;0,000000;0,000016;0,000000;0,000000;0,000000;0,000017;0,000000;0,000010;0,000058;0,000161;0,000000;0,000000;0,000573;0,000013;0,000095;0,000109;0,000596;0,000000;0,000020;0,000064;0,000319;0,000024;0,000036;0,000011;0,000069;0,000035;0,000157;0,000038;0,000026;0,000000;0,000027;0,000000;0,000229;0,000425;0,000000;0,000000;0,000018
Illinois;0,000017;0,000003;0,000049;0,000005;0,005330;0,000020;0,000016;0,000067;0,000008;0,000065;0,000070;0,000073;0,000038;0,000045;0,000016;0,000486;0,000345;0,000184;0,000004;0,000022;0,000989;0,000177;0,000059;0,000008;0,000805;0,000191;0,000328;0,000008;0,000017;0,000021;0,000016;0,000027;0,000027;0,000008;0,000015;0,000003;0,000206;0,000024;0,000043;0,000144;0,000006;0,000079;0,000093;0,000736;0,000248;0,000006;0,000000;0,000632;0,000811;0,000192;0,000227;0,000010;0,000155;0,000073;0,000068;0,000153;0,000007;0,000221;0,000006;0,000143;0,000006;0,000003;0,000024;0,000007;0,000008;0,000010;0,000017;0,000004;0,000000;0,000002;0,000018;0,000003;0,000003;0,000069;0,000158;0,000004;0,000006;0,000596;0,000034;0,000107;0,000141;0,000788;0,000003;0,000016;0,000085;0,000244;0,000033;0,000034;0,000010;0,000083;0,000031;0,000169;0,000043;0,000025;0,000002;0,000032;0,000007;0,000247;0,000463;0,000005;0,000004;0,000016
Indiana;0,000018;0,000000;0,000051;0,000003;0,005133;0,000023;0,000017;0,000075;0,000007;0,000063;0,000066;0,000068;0,000044;0,000046;0,000018;0,000473;0,000332;0,000173;0,000004;0,000020;0,000941;0,000138;0,000063;0,000008;0,000734;0,000165;0,000313;0,000006;0,000012;0,000020;0,000017;0,000022;0,000023;0,000007;0,000017;0,000000;0,000214;0,000023;0,000044;0,000144;0,000005;0,000065;0,000082;0,000845;0,000232;0,000005;0,000000;0,000506;0,000739;0,000165;0,000229;0,000012;0,000158;0,000073;0,000058;0,000151;0,000005;0,000209;0,000007;0,000146;0,000008;0,000000;0,000020;0,000007;0,000008;0,000008;0,000011;0,000003;0,000000;0,000000;0,000014;0,000004;0,000005;0,000061;0,000156;0,000005;0,000005;0,000470;0,000029;0,000112;0,000141;0,000899;0,000005;0,000015;0,000074;0,000242;0,000029;0,000036;0,000008;0,000067;0,000029;0,000131;0,000044;0,000033;0,000003;0,000030;0,000009;0,000242;0,000470;0,000003;0,000005;0,000019
Iowa;0,000016;0,000000;0,000063;0,000006;0,005723;0,000022;0,000023;0,000083;0,000005;0,000070;0,000075;0,000085;0,000036;0,000076;0,000021;0,000535;0,000405;0,000189;0,000005;0,000020;0,001014;0,000159;0,000071;0,000016;0,000790;0,000169;0,000334;0,000010;0,000015;0,000026;0,000024;0,000030;0,000031;0,000006;0,000017;0,000000;0,000231;0,000023;0,000042;0,000191;0,000016;0,000061;0,000078;0,000789;0,000289;0,000009;0,000000;0,000672;0,000798;0,000169;0,000306;0,000012;0,000177;0,000085;0,000082;0,000176;0,000000;0,000258;0,000008;0,000168;0,000007;0,000000;0,000018;0,000008;0,000006;0,000014;0,000015;0,000000;0,000000;0,000000;0,000022;0,000000;0,000000;0,000063;0,000158;0,000000;0,000006;0,000633;0,000026;0,000105;0,000131;0,000842;0,000005;0,000020;0,000091;0,000328;0,000037;0,000043;0,000012;0,000061;0,000034;0,000153;0,000052;0,000026;0,000000;0,000043;0,000008;0,000272;0,000516;0,000000;0,000000;0,000023
Kansas;0,000019;0,000000;0,000049;0,000000;0,005157;0,000022;0,000014;0,000065;0,000008;0,000063;0,000069;0,000076;0,000043;0,000066;0,000025;0,000435;0,000309;0,000168;0,000005;0,000014;0,000850;0,000178;0,000049;0,000009;0,000762;0,000144;0,000301;0,000008;0,000010;0,000018;0,000013;0,000025;0,000025;0,000000;0,000013;0,000000;0,000214;0,000024;0,000037;0,000176;0,000000;0,000070;0,000083;0,000684;0,000241;0,000006;0,000000;0,000610;0,000768;0,000145;0,000276;0,000008;0,000209;0,000072;0,000064;0,000152;0,000005;0,000216;0,000007;0,000142;0,000006;0,000000;0,000016;0,000000;0,000007;0,000000;0,000018;0,000007;0,000000;0,000000;0,000016;0,000000;0,000000;0,000062;0,000140;0,000000;0,000000;0,000576;0,000029;0,000098;0,000127;0,000732;0,000000;0,000015;0,000068;0,000292;0,000024;0,000044;0,000006;0,000056;0,000031;0,000171;0,000049;0,000031;0,000000;0,000029;0,000000;0,000226;0,000448;0,000005;0,000000;0,000013
Kentucky;0,000018;0,000000;0,000053;0,000007;0,006083;0,000032;0,000027;0,000074;0,000009;0,000077;0,000083;0,000089;0,000048;0,000066;0,000028;0,000568;0,000409;0,000170;0,000006;0,000023;0,001101;0,000181;0,000061;0,000015;0,000792;0,000162;0,000328;0,000008;0,000014;0,000022;0,000019;0,000027;0,000028;0,000007;0,000019;0,000000;0,000243;0,000021;0,000062;0,000182;0,000012;0,000089;0,000108;0,001095;0,000249;0,000004;0,000000;0,000623;0,000795;0,000163;0,000309;0,000009;0,000221;0,000080;0,000076;0,000145;0,000007;0,000222;0,000009;0,000165;0,000006;0,000000;0,000021;0,000007;0,000006;0,000007;0,000016;0,000004;0,000000;0,000000;0,000019;0,000005;0,000005;0,000066;0,000164;0,000010;0,000006;0,000587;0,000031;0,000128;0,000159;0,001168;0,000004;0,000015;0,000101;0,000327;0,000037;0,000033;0,000012;0,000079;0,000026;0,000175;0,000049;0,000034;0,000000;0,000042;0,000009;0,000257;0,000513;0,000000;0,000007;0,000028
Louisiana;0,000015;0,000000;0,000045;0,000004;0,005388;0,000024;0,000015;0,000072;0,000006;0,000060;0,000065;0,000067;0,000051;0,000055;0,000027;0,000495;0,000350;0,000124;0,000005;0,000018;0,001027;0,000159;0,000054;0,000007;0,000754;0,000157;0,000270;0,000007;0,000013;0,000019;0,000014;0,000025;0,000026;0,000007;0,000012;0,000006;0,000234;0,000019;0,000058;0,000158;0,000009;0,000113;0,000125;0,000744;0,000239;0,000004;0,000000;0,000728;0,000758;0,000157;0,000205;0,000016;0,000186;0,000096;0,000079;0,000133;0,000008;0,000212;0,000007;0,000147;0,000007;0,000000;0,000016;0,000006;0,000006;0,000006;0,000015;0,000006;0,000000;0,000000;0,000021;0,000006;0,000007;0,000062;0,000170;0,000007;0,000003;0,000700;0,000033;0,000111;0,000144;0,000811;0,000004;0,000011;0,000102;0,000226;0,000036;0,000040;0,000011;0,000079;0,000020;0,000153;0,000043;0,000029;0,000000;0,000033;0,000006;0,000195;0,000442;0,000005;0,000005;0,000018
Maine;0,000018;0,000000;0,000048;0,000000;0,006539;0,000034;0,000025;0,000077;0,000000;0,000091;0,000096;0,000068;0,000029;0,000092;0,000022;0,000503;0,000351;0,000237;0,000000;0,000012;0,001088;0,000191;0,000102;0,000017;0,000882;0,000209;0,000377;0,000014;0,000012;0,000030;0,000013;0,000033;0,000033;0,000000;0,000017;0,000000;0,000233;0,000024;0,000056;0,000199;0,000025;0,000069;0,000086;0,001013;0,000326;0,000000;0,000000;0,000682;0,000892;0,000209;0,000364;0,000017;0,000223;0,000080;0,000098;0,000195;0,000000;0,000293;0,000014;0,000200;0,000000;0,000000;0,000022;0,000000;0,000000;0,000014;0,000020;0,000000;0,000000;0,000000;0,000029;0,000000;0,000000;0,000054;0,000181;0,000000;0,000014;0,000647;0,000035;0,000117;0,000152;0,001089;0,000000;0,000015;0,000083;0,000393;0,000046;0,000039;0,000014;0,000074;0,000029;0,000184;0,000050;0,000039;0,000000;0,000035;0,000000;0,000375;0,000619;0,000000;0,000000;0,000032
Maryland;0,000014;0,000000;0,000042;0,000004;0,005149;0,000023;0,000014;0,000061;0,000010;0,000057;0,000060;0,000066;0,000038;0,000042;0,000015;0,000407;0,000291;0,000181;0,000004;0,000020;0,000886;0,000160;0,000056;0,000008;0,000811;0,000189;0,000327;0,000004;0,000012;0,000020;0,000009;0,000028;0,000028;0,000008;0,000013;0,000003;0,000174;0,000023;0,000030;0,000129;0,000000;0,000085;0,000098;0,000634;0,000212;0,000008;0,000000;0,000690;0,000819;0,000190;0,000289;0,000008;0,000169;0,000087;0,000064;0,000120;0,000004;0,000184;0,000010;0,000133;0,000007;0,000004;0,000015;0,000007;0,000009;0,000008;0,000015;0,000003;0,000000;0,000000;0,000017;0,000000;0,000004;0,000073;0,000150;0,000000;0,000005;0,000663;0,000033;0,000082;0,000116;0,000677;0,000005;0,000011;0,000062;0,000305;0,000030;0,000037;0,000009;0,000076;0,000022;0,000152;0,000049;0,000024;0,000000;0,000027;0,000006;0,000245;0,000429;0,000006;0,000005;0,000016
