States;Acute Lymphocytic Leukemia;Acute Monocytic Leukemia;Acute Myeloid Leukemia;Aleukemic, Subleukemic and NOS;All Invasive Cancer Sites Combined;Anus, Anal Canal and Anorectum;Appendix;Ascending Colon;Bones and Joints;Brain;Brain and Other Nervous System;Cecum;Cervix Uteri;Chronic Lymphocytic Leukemia;Chronic Myeloid Leukemia;Colon and Rectum;Colon excluding Rectum;Corpus Uteri;Cranial Nerves Other Nervous System;Descending Colon;Digestive System;Endocrine System;Esophagus;Eye and Orbit;Female Breast;Female Breast, In Situ;Female Genital System;Floor of Mouth;Gallbladder;Gum and Other Mouth;Hepatic Flexure;Hodgkin - Nodal;Hodgkin Lymphoma;Hypopharynx;Intrahepatic Bile Duct;Kaposi Sarcoma;Kidney and Renal Pelvis;Large Intestine, NOS;Larynx;Leukemias;Lip;Liver;Liver and Intrahepatic Bile Duct;Lung and Bronchus;Lymphomas;Male Breast;Male Breast, In Situ;Male Genital System;Male and Female Breast;Male and Female Breast, In Situ;Melanoma of the Skin;Mesothelioma;Miscellaneous;Myeloma;NHL - Extranodal;NHL - Nodal;Nasopharynx;Non-Hodgkin Lymphoma;Nose, Nasal Cavity and Middle Ear;Oral Cavity and Pharynx;Oropharynx;Other Acute Leukemia;Other Biliary;Other Digestive Organs;Other Endocrine including Thymus;Other Female Genital Organs;Other Leukemias;Other Lymphocytic Leukemia;Other Male Genital Organs;Other Myeloid/Monocytic Leukemia;Other Non-Epithelial Skin;Other Oral Cavity and Pharynx;Other Urinary Organs;Ovary;Pancreas;Penis;Peritoneum, Omentum and Mesentery;Prostate;Rectosigmoid Junction;Rectum;Rectum and Rectosigmoid Junction;Respiratory System;Retroperitoneum;Salivary Gland;Sigmoid Colon;Skin excluding Basal and Squamous;Small Intestine;Soft Tissue including Heart;Splenic Flexure;Stomach;Testis;Thyroid;Tongue;Tonsil;Trachea, Mediastinum and Other Respiratory Organs;Transverse Colon;Ureter;Urinary Bladder, invasive and in situ;Urinary System;Uterus, NOS;Vagina;Vulva
Massachusetts;0,000016;0,000000;0,000047;0,000004;0,005436;0,000022;0,000019;0,000054;0,000010;0,000072;0,000076;0,000067;0,000028;0,000046;0,000017;0,000423;0,000302;0,000196;0,000004;0,000019;0,000942;0,000227;0,000065;0,000011;0,000866;0,000238;0,000336;0,000007;0,000014;0,000022;0,000013;0,000028;0,000029;0,000007;0,000018;0,000003;0,000200;0,000018;0,000040;0,000143;0,000006;0,000082;0,000100;0,000753;0,000252;0,000007;0,000000;0,000618;0,000873;0,000240;0,000212;0,000012;0,000145;0,000077;0,000086;0,000136;0,000006;0,000223;0,000007;0,000152;0,000006;0,000004;0,000023;0,000014;0,000008;0,000015;0,000017;0,000006;0,000000;0,000000;0,000020;0,000010;0,000004;0,000072;0,000165;0,000004;0,000007;0,000584;0,000024;0,000097;0,000121;0,000802;0,000005;0,000015;0,000075;0,000232;0,000024;0,000033;0,000007;0,000079;0,000029;0,000219;0,000045;0,000028;0,000000;0,000030;0,000008;0,000280;0,000492;0,000005;0,000000;0,000018
Michigan;0,000012;0,000002;0,000053;0,000006;0,005361;0,000021;0,000016;0,000063;0,000009;0,000066;0,000071;0,000063;0,000038;0,000057;0,000022;0,000431;0,000310;0,000186;0,000005;0,000019;0,000926;0,000138;0,000067;0,000009;0,000757;0,000187;0,000330;0,000006;0,000013;0,000019;0,000012;0,000024;0,000024;0,000009;0,000014;0,000002;0,000183;0,000025;0,000049;0,000162;0,000004;0,000073;0,000087;0,000787;0,000262;0,000008;0,000000;0,000666;0,000765;0,000187;0,000235;0,000012;0,000186;0,000089;0,000086;0,000152;0,000005;0,000238;0,000006;0,000141;0,000005;0,000002;0,000020;0,000006;0,000007;0,000010;0,000018;0,000005;0,000000;0,000002;0,000027;0,000004;0,000006;0,000066;0,000170;0,000004;0,000005;0,000635;0,000025;0,000096;0,000121;0,000845;0,000004;0,000014;0,000073;0,000261;0,000030;0,000033;0,000009;0,000072;0,000025;0,000131;0,000047;0,000027;0,000002;0,000030;0,000008;0,000259;0,000456;0,000005;0,000004;0,000020
Minnesota;0,000016;0,000000;0,000051;0,000015;0,005515;0,000019;0,000021;0,000059;0,000009;0,000078;0,000082;0,000065;0,000031;0,000071;0,000026;0,000439;0,000316;0,000197;0,000004;0,000017;0,000907;0,000143;0,000058;0,000008;0,000796;0,000172;0,000341;0,000007;0,000013;0,000023;0,000015;0,000030;0,000031;0,000006;0,000018;0,000000;0,000203;0,000026;0,000034;0,000192;0,000009;0,000073;0,000091;0,000675;0,000282;0,000007;0,000000;0,000697;0,000803;0,000172;0,000354;0,000013;0,000206;0,000080;0,000073;0,000178;0,000005;0,000251;0,000011;0,000140;0,000005;0,000003;0,000022;0,000008;0,000007;0,000021;0,000028;0,000007;0,000000;0,000000;0,000028;0,000003;0,000005;0,000066;0,000160;0,000005;0,000007;0,000656;0,000023;0,000099;0,000123;0,000721;0,000003;0,000014;0,000073;0,000382;0,000026;0,000040;0,000008;0,000063;0,000035;0,000136;0,000039;0,000029;0,000000;0,000031;0,000006;0,000255;0,000469;0,000000;0,000003;0,000019
Mississippi;0,000016;0,000000;0,000042;0,000000;0,005274;0,000025;0,000018;0,000084;0,000011;0,000052;0,000055;0,000090;0,000048;0,000034;0,000017;0,000554;0,000406;0,000140;0,000000;0,000029;0,001060;0,000125;0,000059;0,000012;0,000709;0,000158;0,000277;0,000000;0,000009;0,000019;0,000015;0,000029;0,000029;0,000011;0,000010;0,000000;0,000232;0,000025;0,000057;0,000121;0,000000;0,000097;0,000107;0,000858;0,000211;0,000008;0,000000;0,000740;0,000717;0,000158;0,000172;0,000011;0,000146;0,000083;0,000056;0,000125;0,000007;0,000182;0,000010;0,000134;0,000009;0,000000;0,000014;0,000010;0,000010;0,000006;0,000012;0,000000;0,000000;0,000000;0,000013;0,000008;0,000000;0,000054;0,000166;0,000000;0,000007;0,000721;0,000036;0,000113;0,000148;0,000926;0,000000;0,000014;0,000094;0,000185;0,000034;0,000031;0,000013;0,000071;0,000016;0,000115;0,000035;0,000024;0,000000;0,000038;0,000000;0,000188;0,000426;0,000007;0,000000;0,000016
Missouri;0,000014;0,000003;0,000049;0,000010;0,005416;0,000026;0,000018;0,000068;0,000009;0,000068;0,000073;0,000070;0,000042;0,000053;0,000019;0,000476;0,000341;0,000172;0,000005;0,000021;0,000951;0,000133;0,000060;0,000010;0,000812;0,000165;0,000313;0,000006;0,000013;0,000019;0,000017;0,000030;0,000030;0,000008;0,000015;0,000000;0,000226;0,000022;0,000051;0,000154;0,000006;0,000082;0,000097;0,000883;0,000249;0,000008;0,000000;0,000581;0,000820;0,000165;0,000229;0,000010;0,000182;0,000079;0,000066;0,000153;0,000007;0,000219;0,000007;0,000148;0,000008;0,000000;0,000017;0,000007;0,000006;0,000007;0,000019;0,000004;0,000000;0,000000;0,000011;0,000006;0,000005;0,000066;0,000150;0,000003;0,000010;0,000548;0,000031;0,000105;0,000135;0,000943;0,000004;0,000012;0,000080;0,000240;0,000030;0,000042;0,000010;0,000061;0,000028;0,000127;0,000047;0,000028;0,000000;0,000034;0,000008;0,000239;0,000478;0,000005;0,000005;0,000015
Montana;0,000000;0,000000;0,000046;0,000000;0,005729;0,000026;0,000022;0,000065;0,000000;0,000083;0,000086;0,000061;0,000037;0,000085;0,000022;0,000491;0,000338;0,000161;0,000000;0,000020;0,000977;0,000171;0,000074;0,000000;0,000821;0,000163;0,000292;0,000000;0,000000;0,000015;0,000016;0,000026;0,000026;0,000000;0,000015;0,000000;0,000203;0,000027;0,000029;0,000176;0,000000;0,000072;0,000087;0,000700;0,000241;0,000000;0,000000;0,000797;0,000834;0,000164;0,000307;0,000000;0,000273;0,000074;0,000076;0,000138;0,000000;0,000215;0,000000;0,000142;0,000000;0,000000;0,000017;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000046;0,000000;0,000000;0,000071;0,000170;0,000000;0,000000;0,000758;0,000039;0,000114;0,000153;0,000739;0,000000;0,000015;0,000087;0,000353;0,000032;0,000034;0,000000;0,000052;0,000032;0,000161;0,000050;0,000033;0,000000;0,000028;0,000000;0,000293;0,000507;0,000000;0,000000;0,000016
Nebraska;0,000016;0,000000;0,000044;0,000000;0,005197;0,000013;0,000015;0,000071;0,000009;0,000068;0,000072;0,000080;0,000038;0,000044;0,000016;0,000485;0,000351;0,000166;0,000000;0,000017;0,000911;0,000160;0,000053;0,000014;0,000741;0,000161;0,000303;0,000000;0,000013;0,000024;0,000014;0,000034;0,000034;0,000000;0,000009;0,000000;0,000211;0,000026;0,000038;0,000138;0,000000;0,000062;0,000072;0,000664;0,000259;0,000009;0,000000;0,000661;0,000750;0,000162;0,000276;0,000000;0,000187;0,000074;0,000079;0,000146;0,000000;0,000225;0,000009;0,000141;0,000008;0,000000;0,000014;0,000000;0,000009;0,000009;0,000017;0,000000;0,000000;0,000000;0,000021;0,000000;0,000000;0,000064;0,000153;0,000000;0,000000;0,000624;0,000025;0,000109;0,000134;0,000713;0,000000;0,000014;0,000083;0,000297;0,000030;0,000034;0,000010;0,000061;0,000030;0,000151;0,000044;0,000024;0,000000;0,000034;0,000000;0,000245;0,000467;0,000000;0,000000;0,000020
Nevada;0,000012;0,000000;0,000033;0,000000;0,003954;0,000018;0,000007;0,000044;0,000011;0,000065;0,000067;0,000061;0,000043;0,000039;0,000013;0,000365;0,000257;0,000124;0,000000;0,000014;0,000704;0,000165;0,000043;0,000006;0,000602;0,000117;0,000249;0,000000;0,000008;0,000008;0,000011;0,000017;0,000017;0,000007;0,000000;0,000000;0,000167;0,000031;0,000029;0,000113;0,000009;0,000058;0,000063;0,000531;0,000157;0,000009;0,000000;0,000440;0,000611;0,000119;0,000129;0,000006;0,000138;0,000048;0,000044;0,000096;0,000006;0,000140;0,000007;0,000118;0,000007;0,000000;0,000011;0,000000;0,000007;0,000000;0,000015;0,000000;0,000000;0,000000;0,000010;0,000000;0,000000;0,000054;0,000117;0,000007;0,000006;0,000413;0,000022;0,000085;0,000108;0,000569;0,000000;0,000016;0,000065;0,000139;0,000017;0,000030;0,000000;0,000048;0,000019;0,000158;0,000041;0,000019;0,000000;0,000019;0,000000;0,000204;0,000378;0,000006;0,000000;0,000013
New Hampshire;0,000014;0,000000;0,000039;0,000000;0,005996;0,000028;0,000018;0,000054;0,000012;0,000076;0,000080;0,000077;0,000031;0,000053;0,000022;0,000446;0,000325;0,000204;0,000000;0,000000;0,000953;0,000174;0,000100;0,000000;0,000979;0,000225;0,000347;0,000000;0,000014;0,000018;0,000015;0,000035;0,000035;0,000017;0,000000;0,000000;0,000177;0,000024;0,000035;0,000151;0,000000;0,000074;0,000083;0,000827;0,000288;0,000000;0,000000;0,000717;0,000987;0,000225;0,000383;0,000014;0,000190;0,000073;0,000089;0,000163;0,000000;0,000253;0,000000;0,000155;0,000000;0,000000;0,000019;0,000000;0,000000;0,000017;0,000023;0,000000;0,000000;0,000000;0,000020;0,000000;0,000000;0,000063;0,000145;0,000000;0,000000;0,000676;0,000025;0,000096;0,000121;0,000876;0,000000;0,000000;0,000090;0,000404;0,000034;0,000046;0,000015;0,000065;0,000033;0,000163;0,000044;0,000039;0,000000;0,000023;0,000000;0,000334;0,000521;0,000000;0,000000;0,000021
New Jersey;0,000017;0,000003;0,000049;0,000005;0,005704;0,000023;0,000018;0,000074;0,000010;0,000069;0,000072;0,000060;0,000046;0,000068;0,000020;0,000482;0,000331;0,000202;0,000004;0,000022;0,001000;0,000211;0,000053;0,000007;0,000847;0,000247;0,000368;0,000006;0,000013;0,000021;0,000012;0,000031;0,000032;0,000006;0,000016;0,000005;0,000193;0,000029;0,000035;0,000174;0,000005;0,000078;0,000094;0,000662;0,000289;0,000007;0,000000;0,000763;0,000854;0,000248;0,000263;0,000014;0,000198;0,000084;0,000097;0,000160;0,000006;0,000257;0,000008;0,000131;0,000006;0,000002;0,000022;0,000009;0,000011;0,000011;0,000021;0,000007;0,000000;0,000003;0,000022;0,000003;0,000006;0,000078;0,000167;0,000004;0,000004;0,000730;0,000042;0,000109;0,000151;0,000706;0,000003;0,000016;0,000081;0,000285;0,000032;0,000040;0,000009;0,000096;0,000028;0,000200;0,000039;0,000024;0,000000;0,000026;0,000008;0,000284;0,000491;0,000009;0,000004;0,000019
New Mexico;0,000018;0,000000;0,000040;0,000000;0,004360;0,000016;0,000011;0,000042;0,000011;0,000060;0,000063;0,000059;0,000038;0,000076;0,000023;0,000381;0,000256;0,000142;0,000000;0,000016;0,000863;0,000182;0,000048;0,000011;0,000676;0,000119;0,000289;0,000000;0,000015;0,000012;0,000012;0,000021;0,000021;0,000000;0,000000;0,000000;0,000171;0,000030;0,000024;0,000169;0,000000;0,000130;0,000137;0,000466;0,000185;0,000000;0,000000;0,000478;0,000681;0,000120;0,000191;0,000000;0,000145;0,000070;0,000058;0,000106;0,000000;0,000164;0,000000;0,000095;0,000000;0,000000;0,000023;0,000000;0,000008;0,000012;0,000012;0,000000;0,000000;0,000000;0,000019;0,000000;0,000000;0,000078;0,000139;0,000000;0,000000;0,000442;0,000026;0,000099;0,000125;0,000498;0,000000;0,000014;0,000061;0,000210;0,000016;0,000038;0,000000;0,000075;0,000030;0,000174;0,000027;0,000019;0,000000;0,000019;0,000008;0,000183;0,000363;0,000000;0,000000;0,000009
New York;0,000016;0,000002;0,000052;0,000007;0,005655;0,000026;0,000018;0,000062;0,000011;0,000066;0,000071;0,000064;0,000044;0,000073;0,000023;0,000453;0,000317;0,000202;0,000005;0,000020;0,000999;0,000228;0,000056;0,000011;0,000826;0,000251;0,000360;0,000006;0,000017;0,000018;0,000014;0,000031;0,000032;0,000008;0,000018;0,000007;0,000197;0,000020;0,000041;0,000183;0,000005;0,000091;0,000109;0,000707;0,000279;0,000010;0,000001;0,000723;0,000836;0,000252;0,000205;0,000010;0,000211;0,000091;0,000083;0,000164;0,000010;0,000247;0,000008;0,000134;0,000006;0,000002;0,000021;0,000008;0,000011;0,000010;0,000018;0,000005;0,000001;0,000002;0,000022;0,000002;0,000005;0,000075;0,000168;0,000004;0,000005;0,000689;0,000036;0,000100;0,000135;0,000758;0,000005;0,000016;0,000081;0,000227;0,000031;0,000039;0,000009;0,000100;0,000028;0,000217;0,000041;0,000022;0,000002;0,000029;0,000007;0,000269;0,000478;0,000007;0,000004;0,000018
North Carolina;0,000016;0,000002;0,000046;0,000006;0,005420;0,000023;0,000018;0,000060;0,000009;0,000067;0,000071;0,000062;0,000037;0,000051;0,000022;0,000436;0,000312;0,000161;0,000004;0,000018;0,000917;0,000140;0,000048;0,000007;0,000825;0,000174;0,000302;0,000008;0,000013;0,000020;0,000012;0,000025;0,000025;0,000009;0,000019;0,000003;0,000194;0,000027;0,000046;0,000152;0,000005;0,000087;0,000106;0,000809;0,000228;0,000008;0,000000;0,000680;0,000833;0,000175;0,000306;0,000009;0,000182;0,000084;0,000054;0,000149;0,000007;0,000203;0,000007;0,000152;0,000008;0,000002;0,000017;0,000005;0,000008;0,000010;0,000017;0,000004;0,000000;0,000000;0,000020;0,000003;0,000004;0,000066;0,000152;0,000005;0,000006;0,000649;0,000024;0,000099;0,000123;0,000865;0,000005;0,000015;0,000076;0,000326;0,000034;0,000032;0,000010;0,000072;0,000025;0,000132;0,000047;0,000031;0,000002;0,000030;0,000007;0,000222;0,000428;0,000005;0,000004;0,000018
North Dakota;0,000000;0,000000;0,000057;0,000000;0,004937;0,000000;0,000000;0,000053;0,000000;0,000055;0,000061;0,000059;0,000000;0,000074;0,000024;0,000468;0,000310;0,000137;0,000000;0,000000;0,000823;0,000176;0,000048;0,000000;0,000736;0,000147;0,000239;0,000000;0,000000;0,000000;0,000000;0,000022;0,000022;0,000000;0,000000;0,000000;0,000185;0,000022;0,000033;0,000189;0,000029;0,000022;0,000034;0,000605;0,000219;0,000000;0,000000;0,000778;0,000745;0,000148;0,000266;0,000000;0,000160;0,000066;0,000070;0,000127;0,000000;0,000197;0,000000;0,000122;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000022;0,000000;0,000000;0,000057;0,000133;0,000000;0,000000;0,000736;0,000038;0,000119;0,000157;0,000643;0,000000;0,000000;0,000075;0,000288;0,000000;0,000025;0,000000;0,000058;0,000036;0,000168;0,000026;0,000024;0,000000;0,000034;0,000000;0,000192;0,000387;0,000000;0,000000;0,000000
Ohio;0,000015;0,000002;0,000047;0,000005;0,005633;0,000024;0,000020;0,000073;0,000009;0,000072;0,000076;0,000076;0,000041;0,000041;0,000018;0,000516;0,000371;0,000192;0,000004;0,000022;0,001018;0,000166;0,000065;0,000012;0,000816;0,000188;0,000345;0,000008;0,000014;0,000023;0,000017;0,000029;0,000029;0,000008;0,000015;0,000002;0,000211;0,000036;0,000054;0,000138;0,000005;0,000074;0,000089;0,000847;0,000263;0,000007;0,000000;0,000641;0,000822;0,000188;0,000296;0,000012;0,000156;0,000069;0,000067;0,000166;0,000004;0,000234;0,000009;0,000151;0,000007;0,000003;0,000019;0,000006;0,000009;0,000007;0,000018;0,000004;0,000000;0,000002;0,000017;0,000002;0,000003;0,000071;0,000161;0,000004;0,000011;0,000607;0,000030;0,000115;0,000145;0,000912;0,000005;0,000014;0,000085;0,000313;0,000033;0,000039;0,000010;0,000074;0,000028;0,000158;0,000051;0,000029;0,000002;0,000033;0,000008;0,000268;0,000488;0,000012;0,000002;0,000020
Oklahoma;0,000018;0,000000;0,000048;0,000006;0,005052;0,000026;0,000015;0,000066;0,000011;0,000069;0,000072;0,000062;0,000042;0,000051;0,000019;0,000460;0,000328;0,000141;0,000000;0,000016;0,000887;0,000144;0,000046;0,000009;0,000717;0,000139;0,000277;0,000004;0,000012;0,000015;0,000013;0,000019;0,000019;0,000007;0,000007;0,000000;0,000238;0,000036;0,000046;0,000151;0,000016;0,000089;0,000097;0,000790;0,000215;0,000007;0,000000;0,000559;0,000724;0,000139;0,000236;0,000007;0,000184;0,000073;0,000066;0,000131;0,000007;0,000196;0,000006;0,000143;0,000008;0,000000;0,000018;0,000007;0,000008;0,000005;0,000015;0,000004;0,000000;0,000000;0,000013;0,000004;0,000000;0,000062;0,000130;0,000004;0,000000;0,000530;0,000031;0,000101;0,000132;0,000843;0,000000;0,000015;0,000084;0,000250;0,000027;0,000030;0,000007;0,000058;0,000024;0,000137;0,000043;0,000025;0,000000;0,000029;0,000008;0,000223;0,000472;0,000007;0,000000;0,000017
Oregon;0,000017;0,000000;0,000043;0,000000;0,004935;0,000022;0,000019;0,000054;0,000009;0,000071;0,000075;0,000057;0,000035;0,000047;0,000014;0,000388;0,000277;0,000170;0,000000;0,000012;0,000877;0,000150;0,000056;0,000015;0,000733;0,000144;0,000310;0,000007;0,000013;0,000017;0,000009;0,000024;0,000024;0,000007;0,000015;0,000000;0,000180;0,000026;0,000029;0,000134;0,000006;0,000102;0,000117;0,000619;0,000218;0,000004;0,000000;0,000588;0,000737;0,000145;0,000313;0,000011;0,000144;0,000056;0,000060;0,000134;0,000005;0,000194;0,000007;0,000147;0,000006;0,000000;0,000016;0,000006;0,000007;0,000008;0,000012;0,000000;0,000000;0,000000;0,000015;0,000000;0,000000;0,000073;0,000158;0,000005;0,000005;0,000551;0,000027;0,000084;0,000111;0,000657;0,000004;0,000014;0,000066;0,000327;0,000026;0,000036;0,000008;0,000065;0,000032;0,000143;0,000051;0,000032;0,000000;0,000026;0,000007;0,000252;0,000441;0,000006;0,000000;0,000016
Pennsylvania;0,000017;0,000002;0,000060;0,000007;0,006197;0,000025;0,000022;0,000073;0,000010;0,000075;0,000081;0,000082;0,000041;0,000065;0,000024;0,000537;0,000378;0,000225;0,000005;0,000022;0,001115;0,000218;0,000070;0,000012;0,000865;0,000210;0,000386;0,000008;0,000013;0,000021;0,000019;0,000031;0,000031;0,000010;0,000021;0,000002;0,000221;0,000026;0,000047;0,000184;0,000005;0,000098;0,000119;0,000845;0,000297;0,000008;0,000000;0,000707;0,000873;0,000210;0,000315;0,000015;0,000228;0,000090;0,000089;0,000177;0,000006;0,000266;0,000008;0,000151;0,000007;0,000002;0,000024;0,000008;0,000011;0,000013;0,000018;0,000005;0,000000;0,000000;0,000025;0,000002;0,000005;0,000077;0,000198;0,000005;0,000007;0,000670;0,000042;0,000117;0,000158;0,000902;0,000005;0,000016;0,000093;0,000340;0,000031;0,000035;0,000010;0,000078;0,000031;0,000207;0,000048;0,000028;0,000002;0,000032;0,000009;0,000316;0,000552;0,000003;0,000005;0,000023
Rhode Island;0,000000;0,000000;0,000042;0,000000;0,005643;0,000020;0,000017;0,000062;0,000000;0,000072;0,000077;0,000063;0,000037;0,000067;0,000022;0,000389;0,000272;0,000168;0,000000;0,000000;0,000891;0,000216;0,000058;0,000000;0,000889;0,000198;0,000322;0,000000;0,000022;0,000022;0,000000;0,000028;0,000028;0,000000;0,000021;0,000000;0,000195;0,000000;0,000040;0,000163;0,000000;0,000074;0,000095;0,000871;0,000275;0,000000;0,000000;0,000612;0,000902;0,000198;0,000287;0,000000;0,000150;0,000075;0,000074;0,000173;0,000000;0,000247;0,000000;0,000147;0,000000;0,000000;0,000021;0,000000;0,000000;0,000017;0,000020;0,000000;0,000000;0,000000;0,000018;0,000000;0,000000;0,000065;0,000135;0,000000;0,000000;0,000568;0,000031;0,000086;0,000117;0,000917;0,000000;0,000021;0,000073;0,000305;0,000044;0,000047;0,000000;0,000093;0,000038;0,000203;0,000047;0,000020;0,000000;0,000021;0,000000;0,000299;0,000510;0,000000;0,000000;0,000020
South Carolina;0,000015;0,000000;0,000045;0,000006;0,005562;0,000021;0,000019;0,000065;0,000011;0,000071;0,000073;0,000069;0,000044;0,000049;0,000021;0,000474;0,000346;0,000156;0,000000;0,000021;0,000991;0,000129;0,000059;0,000006;0,000833;0,000198;0,000296;0,000008;0,000009;0,000021;0,000014;0,000023;0,000023;0,000011;0,000017;0,000000;0,000217;0,000034;0,000057;0,000145;0,000004;0,000092;0,000109;0,000820;0,000216;0,000009;0,000000;0,000745;0,000842;0,000199;0,000264;0,000010;0,000182;0,000097;0,000060;0,000134;0,000003;0,000193;0,000007;0,000148;0,000008;0,000000;0,000020;0,000006;0,000008;0,000008;0,000015;0,000000;0,000000;0,000000;0,000020;0,000000;0,000006;0,000061;0,000163;0,000006;0,000010;0,000719;0,000023;0,000105;0,000128;0,000886;0,000000;0,000016;0,000079;0,000284;0,000035;0,000037;0,000009;0,000083;0,000020;0,000121;0,000045;0,000030;0,000000;0,000036;0,000007;0,000232;0,000462;0,000005;0,000004;0,000017
South Dakota;0,000000;0,000000;0,000052;0,000000;0,005132;0,000000;0,000000;0,000066;0,000000;0,000064;0,000064;0,000061;0,000028;0,000056;0,000038;0,000466;0,000339;0,000171;0,000000;0,000019;0,000897;0,000143;0,000047;0,000000;0,000754;0,000150;0,000301;0,000000;0,000000;0,000000;0,000027;0,000028;0,000028;0,000000;0,000024;0,000000;0,000168;0,000024;0,000030;0,000182;0,000021;0,000073;0,000098;0,000685;0,000221;0,000000;0,000000;0,000723;0,000761;0,000150;0,000269;0,000000;0,000199;0,000068;0,000057;0,000136;0,000000;0,000193;0,000000;0,000118;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000022;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000061;0,000136;0,000000;0,000000;0,000691;0,000026;0,000101;0,000127;0,000725;0,000000;0,000000;0,000072;0,000281;0,000027;0,000030;0,000000;0,000064;0,000028;0,000139;0,000027;0,000020;0,000000;0,000042;0,000000;0,000229;0,000398;0,000000;0,000000;0,000031
Tennessee;0,000015;0,000000;0,000048;0,000006;0,005491;0,000025;0,000015;0,000069;0,000009;0,000065;0,000068;0,000073;0,000044;0,000047;0,000019;0,000471;0,000335;0,000155;0,000003;0,000021;0,000957;0,000147;0,000059;0,000012;0,000766;0,000156;0,000297;0,000007;0,000008;0,000022;0,000015;0,000029;0,000029;0,000008;0,000012;0,000000;0,000216;0,000023;0,000047;0,000143;0,000005;0,000095;0,000107;0,000939;0,000229;0,000011;0,000000;0,000670;0,000776;0,000157;0,000253;0,000006;0,000182;0,000075;0,000060;0,000140;0,000006;0,000200;0,000008;0,000156;0,000008;0,000003;0,000018;0,000008;0,000007;0,000007;0,000015;0,000000;0,000000;0,000000;0,000017;0,000003;0,000003;0,000066;0,000149;0,000004;0,000005;0,000643;0,000031;0,000105;0,000136;0,000996;0,000005;0,000015;0,000083;0,000270;0,000035;0,000039;0,000008;0,000068;0,000022;0,000140;0,000047;0,000034;0,000000;0,000028;0,000007;0,000231;0,000458;0,000006;0,000003;0,000017
Texas;0,000018;0,000002;0,000034;0,000008;0,003905;0,000016;0,000011;0,000046;0,000011;0,000056;0,000061;0,000048;0,000045;0,000039;0,000018;0,000369;0,000257;0,000110;0,000004;0,000015;0,000793;0,000126;0,000038;0,000007;0,000587;0,000124;0,000235;0,000004;0,000010;0,000014;0,000010;0,000023;0,000023;0,000006;0,000013;0,000004;0,000182;0,000034;0,000030;0,000127;0,000004;0,000108;0,000121;0,000476;0,000183;0,000007;0,000001;0,000438;0,000595;0,000125;0,000126;0,000006;0,000144;0,000066;0,000047;0,000114;0,000005;0,000160;0,000006;0,000112;0,000007;0,000003;0,000018;0,000007;0,000008;0,000005;0,000019;0,000003;0,000001;0,000002;0,000009;0,000006;0,000002;0,000055;0,000119;0,000004;0,000004;0,000408;0,000029;0,000084;0,000112;0,000514;0,000004;0,000010;0,000063;0,000135;0,000022;0,000027;0,000007;0,000063;0,000025;0,000118;0,000035;0,000021;0,000002;0,000022;0,000004;0,000134;0,000323;0,000007;0,000003;0,000009
Utah;0,000014;0,000000;0,000030;0,000000;0,003475;0,000016;0,000018;0,000029;0,000013;0,000061;0,000064;0,000032;0,000021;0,000040;0,000016;0,000238;0,000168;0,000123;0,000000;0,000009;0,000525;0,000179;0,000022;0,000008;0,000502;0,000094;0,000215;0,000000;0,000007;0,000010;0,000007;0,000022;0,000022;0,000000;0,000011;0,000000;0,000117;0,000012;0,000010;0,000111;0,000015;0,000051;0,000062;0,000213;0,000181;0,000000;0,000000;0,000524;0,000505;0,000094;0,000353;0,000007;0,000096;0,000055;0,000055;0,000103;0,000000;0,000159;0,000008;0,000096;0,000000;0,000000;0,000009;0,000008;0,000000;0,000006;0,000011;0,000000;0,000000;0,000000;0,000020;0,000000;0,000000;0,000053;0,000091;0,000000;0,000000;0,000483;0,000015;0,000055;0,000070;0,000233;0,000005;0,000014;0,000044;0,000373;0,000025;0,000029;0,000000;0,000039;0,000036;0,000176;0,000029;0,000014;0,000000;0,000012;0,000000;0,000136;0,000260;0,000000;0,000000;0,000008
Vermont;0,000000;0,000000;0,000054;0,000000;0,005790;0,000000;0,000000;0,000051;0,000000;0,000064;0,000065;0,000062;0,000000;0,000054;0,000000;0,000442;0,000316;0,000259;0,000000;0,000000;0,000887;0,000169;0,000081;0,000000;0,000882;0,000192;0,000393;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000168;0,000000;0,000042;0,000147;0,000000;0,000059;0,000064;0,000831;0,000292;0,000000;0,000000;0,000607;0,000888;0,000193;0,000460;0,000000;0,000208;0,000067;0,000061;0,000211;0,000000;0,000272;0,000000;0,000168;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000072;0,000136;0,000000;0,000000;0,000588;0,000030;0,000096;0,000126;0,000885;0,000000;0,000000;0,000078;0,000484;0,000029;0,000035;0,000000;0,000053;0,000000;0,000163;0,000051;0,000042;0,000000;0,000043;0,000000;0,000281;0,000457;0,000000;0,000000;0,000000
